algorithm,scenarios,iteration,active_scenarios,lower_bound,upper_bound,gap,added_scenarios,ram_mb
benders,2,25,2,272448.88087569614,281950.3315761433,0.033699022970815284,,867.40625
benders,2,26,2,273913.924249326,277181.0248636769,0.011786884098382877,,866.96875
benders,2,27,2,277019.25819701015,277181.0248636769,0.0005836137836121921,,865.796875
ccg,2,1,2,108813.97463349011,184827.04618505063,0.41126595441580677,,1073.3125
benders,6,1,6,260.0,1.1487128291855454e6,0.9997736597046765,,1212.9375
benders,6,2,6,6270.688619107415,1.1487128291855454e6,0.9945411172742381,,1214.15625
benders,6,3,6,7896.094274783272,1.1487128291855454e6,0.9931261372945797,,1215.21875
benders,6,4,6,11354.68760811643,1.1487128291855454e6,0.9901152948581959,,1216.40625
benders,6,5,6,15076.182622421104,1.1487128291855454e6,0.9868755860991845,,1217.15625
benders,6,6,6,46159.570646721004,1.1487128291855454e6,0.959816266106814,,1217.375
benders,6,7,6,52314.87937913697,1.1487128291855454e6,0.9544578261416446,,1217.25
benders,6,8,6,52314.87945179855,1.1487128291855454e6,0.9544578260783898,,1217.828125
benders,6,9,6,58974.40244155245,1.1487128291855454e6,0.9486604476383234,,1219.015625
benders,6,10,6,59287.436885996896,1.1487128291855454e6,0.9483879387601329,,1219.640625
benders,6,11,6,59761.94133040961,1.1487128291855454e6,0.947974863853719,,1220.1875
benders,6,12,6,66981.57021933023,1.1487128291855454e6,0.941689891051567,,1220.59375
benders,6,13,6,66981.57021933023,1.1487128291855454e6,0.941689891051567,,1221.0
benders,6,14,6,66981.57021933023,1.1487128291855454e6,0.941689891051567,,1221.375
benders,6,15,6,67456.07466377468,1.1487128291855454e6,0.9412768161451255,,1222.734375
benders,6,16,6,74675.70355266248,367369.08700052986,0.7967283960575824,,1221.75
benders,6,17,6,309768.09811164084,367369.08700052986,0.1567932385357431,,1222.03125
benders,6,18,6,309934.17588941613,367369.08700052986,0.15634116517505064,,1222.5625
benders,6,19,6,309936.1758894186,367369.08700052986,0.15633572105883833,,1223.5625
benders,6,20,6,310237.29811164085,367369.08700052986,0.15551604887389747,,1223.75
benders,6,21,6,310780.2003338631,367369.08700052986,0.15403823748085563,,1223.90625
benders,6,22,6,310928.3981116409,367369.08700052986,0.15363483451903492,,1224.1875
benders,6,23,6,311259.62561464746,367369.08700052986,0.1527332140105973,,1224.59375
benders,6,24,6,319609.0958894186,367369.08700052986,0.13000547079485855,,1208.6875
benders,6,25,6,319901.7292227519,367369.08700052986,0.1292089058587019,,1178.5
benders,6,26,6,329546.7558894185,367369.08700052986,0.10295458286873735,,1170.640625
benders,6,27,6,333391.63255608553,367369.08700052986,0.09248860518387285,,1139.359375
benders,6,28,6,339286.33700052975,367369.08700052986,0.07644287718711391,,1139.21875
benders,6,29,6,339755.53700052976,367369.08700052986,0.07516568752526831,,1141.265625
benders,6,30,6,348531.1445279428,367369.08700052986,0.05127797394806003,,1141.484375
benders,6,31,6,352303.379222752,363958.2844294087,0.03202264024542412,,1097.515625
benders,6,32,6,356612.7423973315,363958.2844294087,0.02018237349253614,,1081.921875
benders,6,33,6,359613.7571544175,362833.8008544934,0.008874707076583355,,1069.21875
benders,6,34,6,360877.64590385766,362816.65312500286,0.005344317038478956,,1053.765625
benders,6,35,6,362221.380873515,362816.65312500286,0.001640697157528631,,1039.09375
benders,6,36,6,362530.5531250027,362816.65312500286,0.0007885525582553441,,1033.921875
ccg,6,1,3,111978.74770950888,1.1954092876108626e6,0.9063260183177803,4;2,1014.296875
ccg,6,2,5,120005.85583163926,154028.0981876889,0.22088335022075917,5,1017.6875
ccg,6,3,6,120005.85583163926,144403.10936546465,0.16895241134946967,,1250.40625
