"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.204453928606794,-0.20371636532757,-0.204964443958248,0.000254797815928601,149,"Dataset 1","Little noise",-0.217193819403224,-0.191714037810364
-0.202977300977685,-0.20259252542595,-0.203533140056931,0.000230021551176887,150,"Dataset 1","Little noise",-0.214478378536529,-0.191476223418841
-0.201853545102546,-0.201179210161483,-0.202427743480289,0.000250368914157989,151,"Dataset 1","Little noise",-0.214371990810445,-0.189335099394647
-0.20061712840429,-0.199882780964615,-0.20123408266266,0.000244796431007205,152,"Dataset 1","Little noise",-0.21285694995465,-0.18837730685393
-0.199194613721921,-0.198694319704456,-0.199781343132893,0.00019494525685045,153,"Dataset 1","Little noise",-0.208941876564443,-0.189447350879398
-0.197948120675686,-0.197277668377166,-0.19855513271568,0.000281493895102834,154,"Dataset 1","Little noise",-0.212022815430828,-0.183873425920544
-0.196571961124334,-0.196022739033078,-0.197115778033805,0.000264215355127939,155,"Dataset 1","Little noise",-0.209782728880731,-0.183361193367937
-0.194737090419758,-0.194236053360459,-0.195312941171894,0.000266987818784099,156,"Dataset 1","Little noise",-0.208086481358963,-0.181387699480553
-0.19341728551297,-0.192860163686432,-0.194098634864827,0.000253413868324224,157,"Dataset 1","Little noise",-0.206087978929181,-0.180746592096759
-0.192612196751317,-0.19218499605387,-0.193178309414203,0.000192503709760687,158,"Dataset 1","Little noise",-0.202237382239351,-0.182987011263283
-0.191558550145877,-0.190906866244258,-0.192182167255996,0.000239288467614631,159,"Dataset 1","Little noise",-0.203522973526609,-0.179594126765145
-0.190546697759919,-0.189954999458147,-0.191274519974433,0.000282168991842265,160,"Dataset 1","Little noise",-0.204655147352032,-0.176438248167806
-0.189553256956169,-0.188908874552697,-0.190356354274381,0.000238315639878704,161,"Dataset 1","Little noise",-0.201469038950104,-0.177637474962234
-0.188225958857176,-0.187626366345777,-0.188786879428045,0.000238114716353044,162,"Dataset 1","Little noise",-0.200131694674828,-0.176320223039524
-0.187124897704385,-0.186633831187848,-0.187759008279811,0.000284997166808784,163,"Dataset 1","Little noise",-0.201374756044824,-0.172875039363946
-0.185559771183488,-0.184803522297246,-0.186159974063401,0.00026042416456591,164,"Dataset 1","Little noise",-0.198580979411783,-0.172538562955192
-0.184250806785685,-0.183658797298382,-0.184737341522929,0.000251033381832375,165,"Dataset 1","Little noise",-0.196802475877304,-0.171699137694066
-0.182855833032587,-0.182395190583962,-0.183457987559663,0.000242882877867834,166,"Dataset 1","Little noise",-0.194999976925979,-0.170711689139195
-0.181410823388244,-0.180789411692978,-0.182022780444633,0.000241239182235673,167,"Dataset 1","Little noise",-0.193472782500028,-0.16934886427646
-0.180270540670101,-0.179693113267451,-0.180907267477049,0.000236016237058011,168,"Dataset 1","Little noise",-0.192071352523002,-0.1684697288172
-0.179003342506094,-0.178535511917499,-0.179637743682535,0.000278633303033387,169,"Dataset 1","Little noise",-0.192935007657763,-0.165071677354425
-0.177874378254617,-0.177217532249727,-0.17842120506304,0.000240492844293689,170,"Dataset 1","Little noise",-0.189899020469301,-0.165849736039933
-0.177334850088468,-0.176845116852208,-0.177870223213593,0.000244581155113905,171,"Dataset 1","Little noise",-0.189563907844163,-0.165105792332773
-0.176199969373096,-0.175764081080604,-0.176947330935418,0.000244428552300413,172,"Dataset 1","Little noise",-0.188421396988117,-0.163978541758075
-0.175147613181725,-0.174628055168738,-0.175677968916416,0.000237962366285127,173,"Dataset 1","Little noise",-0.187045731495981,-0.163249494867469
-0.174620237310254,-0.173794880942219,-0.175137604138734,0.000245531446526311,174,"Dataset 1","Little noise",-0.18689680963657,-0.162343664983938
-0.17371186772222,-0.173185481765412,-0.174322709732207,0.000250413164601694,175,"Dataset 1","Little noise",-0.186232525952305,-0.161191209492135
-0.172667341780353,-0.17203485762672,-0.173318658913307,0.000269622265026354,176,"Dataset 1","Little noise",-0.186148455031671,-0.159186228529035
-0.171891963867316,-0.171269639636114,-0.172581578159236,0.000217067303076914,177,"Dataset 1","Little noise",-0.182745329021162,-0.16103859871347
-0.170589095894393,-0.170061009820143,-0.17109757328284,0.000224711393263312,178,"Dataset 1","Little noise",-0.181824665557559,-0.159353526231227
