"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.147700659794385,-0.147171232592976,-0.148316671213878,0.000256242425565204,17,"Dataset 1","Little noise",-0.160512781072645,-0.134888538516125
-0.152925488149323,-0.152355468676492,-0.153635684870454,0.000286644685915965,18,"Dataset 1","Little noise",-0.167257722445121,-0.138593253853525
-0.158198126205009,-0.157662995968448,-0.158661807588034,0.000236960395009674,19,"Dataset 1","Little noise",-0.170046145955493,-0.146350106454525
-0.163418158086227,-0.162954928058528,-0.16398940104764,0.000256278437401141,20,"Dataset 1","Little noise",-0.176232079956284,-0.15060423621617
-0.167706000052736,-0.167110430622448,-0.168178145440725,0.000235839873518394,21,"Dataset 1","Little noise",-0.179497993728656,-0.155914006376816
-0.171945240961072,-0.171399394354919,-0.172593580814496,0.000237092516841181,22,"Dataset 1","Little noise",-0.183799866803131,-0.160090615119013
-0.176121073632977,-0.175639421985935,-0.176730392922554,0.00021142467453449,23,"Dataset 1","Little noise",-0.186692307359701,-0.165549839906252
-0.179856032417224,-0.179292233830772,-0.180404432148193,0.000248174954933699,24,"Dataset 1","Little noise",-0.192264780163909,-0.167447284670539
-0.183563898323584,-0.183036574171796,-0.18409951245841,0.000228597598879285,25,"Dataset 1","Little noise",-0.194993778267548,-0.17213401837962
-0.186979521444761,-0.186347606954247,-0.187364598861719,0.000193972839375204,26,"Dataset 1","Little noise",-0.196678163413521,-0.177280879476001
-0.190262181213707,-0.189700651892267,-0.190791586621395,0.000223627109967876,27,"Dataset 1","Little noise",-0.201443536712101,-0.179080825715313
-0.193219822118045,-0.192589021279013,-0.194091684086857,0.000249360566122168,28,"Dataset 1","Little noise",-0.205687850424153,-0.180751793811937
-0.196458627085749,-0.195852839929927,-0.197376481128441,0.0002382517739274,29,"Dataset 1","Little noise",-0.208371215782119,-0.184546038389379
-0.199211328107469,-0.198490285881834,-0.199969704150321,0.000278632681977506,30,"Dataset 1","Little noise",-0.213142962206344,-0.185279694008594
