folder_Weibull(0.0004),folder_Weibull(0.0042),folder_Weibull(0.0007),folder_Weibull(0.0015),folder_Weibull(0.0018),folder_Weibull(0.0024),folder_Weibull(0.0021),folder_Weibull(0.0039),folder_Weibull(0.0037),folder_Weibull(0.0027),folder_Weibull(0.0025),folder_Weibull(0.004),folder_Weibull(0.0045),folder_Weibull(0.0009),folder_Weibull(0.0002),folder_Weibull(0.003),folder_Weibull(0.0006),folder_Weibull(0.0035),folder_Weibull(0.0034),folder_Weibull(0.0022),folder_Weibull(0.0013),folder_Weibull(0.0047),folder_Weibull(0.0023),folder_Weibull(0.002),folder_Weibull(0.001),folder_Weibull(0.0014),folder_Weibull(0.0012),folder_Weibull(0.0016),folder_Weibull(0.0041),folder_Weibull(0.0031),folder_Weibull(0.0011),folder_Weibull(0.0029),folder_Weibull(0.0044),folder_Weibull(0.0046),folder_Weibull(0.0032),folder_Weibull(0.0019),folder_Weibull(0.0038),folder_Weibull(0.005),folder_Weibull(0.0017),folder_Weibull(0.0001),folder_Weibull(0.0003),folder_Weibull(0.0026),folder_Weibull(0.0048),folder_Weibull(0.0028),folder_Weibull(0.0005),folder_Weibull(0.0033),folder_Weibull(0.0043),folder_Weibull(0.0049),folder_Weibull(0.0036),folder_Weibull(0.0008)
-0.10697202472958224,-0.14210839013768845,-0.1099229969197359,-0.11022458997994827,-0.11404880223533287,-0.11625305868307093,-0.11515082162539249,-0.12948783363661998,-0.13184075094892667,-0.11943556018923701,-0.11268827970209039,-0.13025018759370838,-0.1215431410001085,-0.1106361185888035,-0.10530873159174782,-0.11526764917675035,-0.10640362940166347,-0.12769489729582661,-0.1258870230134013,-0.12032482378299961,-0.1158701991466711,-0.13370749272571109,-0.11994927707010287,-0.11877722237367648,-0.11097784052142255,-0.11483890188782311,-0.10768374268466496,-0.11423555641484753,-0.1191211737657187,-0.13004324573247386,-0.11301105785084145,-0.12341734429604086,-0.13026566179669158,-0.12167221138128154,-0.11832610803094122,-0.11180586177171746,-0.12131047210482933,-0.12654182031986466,-0.11845375591277307,-0.1049188213442312,-0.10591816958978853,-0.11447001028201749,-0.12861577613265282,-0.1291131680891054,-0.10515395976866389,-0.12495304390764467,-0.13406730316614696,-0.1191779492539217,-0.13119885256258412,-0.1085639295148047
-0.11488881537987546,-0.15055422609047647,-0.11858549857792561,-0.12023336002497301,-0.1240675369329342,-0.126726008998664,-0.12318414161060583,-0.13847091474062884,-0.14005610943159288,-0.1270106774340057,-0.12191796719122401,-0.1390969156896894,-0.13112263993856227,-0.11812784826031367,-0.11313508457720507,-0.12357683242079244,-0.11451082869037524,-0.13789677538378012,-0.13680814467400196,-0.12713420522982347,-0.12407205481758753,-0.14252654266077158,-0.12973592825365884,-0.1269757894120838,-0.11986907561626889,-0.12310380385755648,-0.1152216760670687,-0.1222361624508427,-0.12710215732352598,-0.14021147672581963,-0.12043290182158552,-0.13078684281350195,-0.13864577163696254,-0.1320114724820182,-0.13104738498778062,-0.11953068526992995,-0.12794711523916308,-0.1449098602319257,-0.12608952137913618,-0.11280135019170609,-0.11374799707466059,-0.12325314831811829,-0.15121949515221136,-0.13821220988452054,-0.11309636397464598,-0.13494504989339362,-0.14376252389231492,-0.12721578447023973,-0.13872805668614657,-0.11636614479236725
-0.12279082844800362,-0.15695588364173232,-0.12667114772349078,-0.1310948286251381,-0.13086070508794834,-0.13354292131103795,-0.13197161165765214,-0.14684366278531283,-0.14718322117121238,-0.1352979945246509,-0.1298888834891633,-0.15158597753769137,-0.1385600192442545,-0.12729918499812118,-0.12055963511091924,-0.1335245217569266,-0.12226579995531044,-0.1436949985764265,-0.1438631778628568,-0.13385151144545407,-0.13249101316902545,-0.14836213619837507,-0.1385979717021129,-0.13386049469750552,-0.128709709630232,-0.13010853435142464,-0.1245404061775319,-0.12960857255483874,-0.14309687376859068,-0.14881522062723396,-0.12868866876475268,-0.13784737454066953,-0.14867081086133666,-0.13984471896030248,-0.14049966289565993,-0.1279723014967469,-0.13665984230409425,-0.15010217123662742,-0.1342828157322424,-0.12023628018211269,-0.12137655569170358,-0.13190938358037527,-0.15780139261839177,-0.14477177057756768,-0.12178886445937882,-0.14212001675245733,-0.15000682143401117,-0.13556951773025955,-0.14893496163144404,-0.12475540615154959
-0.1298140771448747,-0.1677736266249494,-0.1340315360493585,-0.13868811869747058,-0.13848102291219616,-0.14175354068742987,-0.14017406958160994,-0.15185046158573098,-0.15463554398897547,-0.14359576990168338,-0.14045156994079327,-0.15914643996957067,-0.14712992110476006,-0.1349956700499547,-0.1276560294196828,-0.1398633471736436,-0.12981663544977662,-0.1524392082378335,-0.1509384890503507,-0.1412165006527953,-0.13923754193080742,-0.1565524955520038,-0.14550473430201977,-0.14576642224485747,-0.1353064022450357,-0.1376669607269318,-0.13342060853866636,-0.1389258121831933,-0.15188392561011813,-0.1584940583604175,-0.13675464095485546,-0.14680515459762122,-0.1558418542965372,-0.1475104195755418,-0.14714882364306478,-0.1363396975454288,-0.14502509171089845,-0.15903927449576324,-0.14775606196414606,-0.12740892535616757,-0.12911544409841616,-0.13789909711962717,-0.16286115495987638,-0.15116701759322196,-0.1288960293654289,-0.14861728915422553,-0.15846787129552614,-0.15146184507309568,-0.15428193661033623,-0.13150321305015455
-0.13675839555625527,-0.17291164107923554,-0.14077240884579129,-0.144797421792619,-0.14759571660855797,-0.1484067672310547,-0.14686030728103608,-0.1648830767466817,-0.1615395676540408,-0.15650582078848804,-0.14653031279870007,-0.17029089467046596,-0.15356107901071567,-0.1419946211983105,-0.13450426077571384,-0.15043301369155132,-0.13639572072194006,-0.1594885698767424,-0.1574000024558681,-0.1478853450937953,-0.14577149964417943,-0.16310086030771076,-0.15266708390888564,-0.15410209182136117,-0.14209573944959222,-0.1457124549063316,-0.14133545031972405,-0.14608830607359372,-0.16365694899534705,-0.16610394622922675,-0.1445340914142382,-0.15375638377939485,-0.162955418030606,-0.15301517272412543,-0.15463108095542227,-0.1440358091791051,-0.1506968761141081,-0.16650458866077297,-0.15590848924784825,-0.13403906629994575,-0.1358963220591782,-0.1443607675285257,-0.17409003594452968,-0.15783415219922448,-0.1362850832653459,-0.15656814960098375,-0.1671208806080938,-0.15558584883732132,-0.16107421018384602,-0.13848262382739915
-0.14311276242835627,-0.17842598342638816,-0.14714109818099164,-0.15162633668698777,-0.157147533719937,-0.1540704071673068,-0.15778057252200692,-0.17270874111937506,-0.16678932405969557,-0.1622664127775051,-0.1557235776710175,-0.17754612601387837,-0.16639403150322868,-0.14858746084173244,-0.1411805755265578,-0.15892375060289807,-0.14294720999833754,-0.16723361956968824,-0.16682602242741795,-0.15334384535872497,-0.15192076484866723,-0.1733020965634191,-0.15827980522607488,-0.1600372393840572,-0.14878010879516923,-0.15255331357118146,-0.14766907382149277,-0.1523589766959664,-0.16950157504788124,-0.1720704242020912,-0.15059789690780362,-0.1592340157245674,-0.17001063109403833,-0.16055031584769464,-0.16098943486119388,-0.1501939651767958,-0.1575550956174471,-0.17253032999708057,-0.1636075107487641,-0.14035733479857165,-0.14206925531365883,-0.15029729999794447,-0.1789720181828116,-0.17174234854400944,-0.14273419829237088,-0.16298824386084473,-0.17113437528838624,-0.16222268985881869,-0.16724444241439634,-0.145512896727242
-0.14905468872304783,-0.18211165192343337,-0.15279426447292557,-0.157882353693918,-0.1627302208723897,-0.1592606191475719,-0.16582128911714036,-0.17705462770931749,-0.17335479351416555,-0.16923929580583938,-0.1614712760444448,-0.1857507162721378,-0.17125929714073096,-0.15722845760580736,-0.14724478237418448,-0.17055822843464463,-0.14923805048932323,-0.17693405465326856,-0.1783387246555362,-0.1596690992650236,-0.15743363063272847,-0.17990183482330896,-0.16420389877973182,-0.1646558530101943,-0.15512569747246988,-0.15803039000125718,-0.15360855371439705,-0.162672550627695,-0.17555785545269018,-0.17648178360331068,-0.15706063247983476,-0.16761011420684457,-0.17519381138334766,-0.16917659205747945,-0.16572527985799168,-0.15835058159794288,-0.1648812686175227,-0.17800601123455626,-0.1693431980249716,-0.14658264745888758,-0.14815601186010646,-0.1549234023582502,-0.1880601532373965,-0.17702224251171167,-0.14876798680537806,-0.17516253961694248,-0.1767979411757753,-0.16616448283966204,-0.1768053151935448,-0.15216520342910442
-0.15464886095391553,-0.19211090759598748,-0.1582127518076548,-0.16405037283013654,-0.16797696226122547,-0.16608555737743294,-0.17071436099622572,-0.18248207642674522,-0.17968823316487775,-0.17493858260642228,-0.16684892288331488,-0.19270787484770488,-0.1859349316547995,-0.16353814114696252,-0.15287849320401883,-0.1754702785691826,-0.15522976540764855,-0.1819778664733054,-0.18374944528855663,-0.1648995893000064,-0.16302352665394423,-0.18845117230585373,-0.17228275283594488,-0.17168623435652855,-0.16056657112733386,-0.16336387724793613,-0.1610662478440563,-0.17000989802269575,-0.1819580033305849,-0.18078124845930157,-0.1629378997680105,-0.17590760381308035,-0.1794240856702307,-0.1760822595847596,-0.1716000955324174,-0.1634299850081546,-0.1701953735550038,-0.18468152818898698,-0.1757121791432243,-0.15226501745762047,-0.15371487784488244,-0.1623056274531423,-0.19284908821337476,-0.18266045358835822,-0.15441838996670637,-0.1798895622399186,-0.18351745630170227,-0.17136063048397365,-0.18253410866822456,-0.15785621203975647
-0.16003100736918136,-0.19301731132600136,-0.16352540743471486,-0.16909280232426913,-0.17335294567630777,-0.17104425584487276,-0.17615424901610383,-0.18663769478067202,-0.19267470362300243,-0.18236438087387252,-0.17143301934131183,-0.19916227258359434,-0.19259112042667817,-0.17018921140114357,-0.15852589512241066,-0.18228074186263818,-0.16250780992361943,-0.18676740214209883,-0.18872031770135428,-0.17120686530100904,-0.16753131375433702,-0.2053407572002063,-0.1785434064154856,-0.17696995631171536,-0.1658110286938301,-0.1698060035474372,-0.1681095734364477,-0.17738111130126863,-0.18583557731918757,-0.18514114924383393,-0.1683537475285583,-0.18781274310767693,-0.18631696811521498,-0.1830422463285724,-0.17839834264935792,-0.17415760622312365,-0.175875659616971,-0.19278123939844288,-0.1818715361394302,-0.15763661377906163,-0.15913591357145926,-0.16759657204273112,-0.19585111388776916,-0.18889606938705866,-0.1597693331106449,-0.18674132237609978,-0.18777007576540028,-0.17907047874573112,-0.18603380673358533,-0.16395929020340871
-0.16550288571259414,-0.1979919082683675,-0.168425676636685,-0.17454603382452555,-0.1780703118235868,-0.1775064799807948,-0.1818244211522015,-0.19461816294000261,-0.2028020334723049,-0.1863880863284271,-0.17760005174224006,-0.20311839008014448,-0.19787139841450319,-0.17497690256502021,-0.1635955159137244,-0.18685412681301883,-0.16751245993642022,-0.19746370044731623,-0.19566918360151647,-0.175964219061472,-0.17312854432767766,-0.2093248632547937,-0.18376800916152436,-0.1815488705802181,-0.1714133801118815,-0.17458611766727924,-0.17284994691787714,-0.18166063137333585,-0.1924879473691213,-0.19025863453647354,-0.17421040619524628,-0.19695501935286733,-0.19113936613847898,-0.19139909674161615,-0.1848200384891629,-0.1815585581292605,-0.1944458043981094,-0.19781269745490082,-0.18648279748635613,-0.16265750460439246,-0.1643168350028734,-0.17470666688378625,-0.20025166898153432,-0.19239230249182776,-0.16486909039343073,-0.19224449273188887,-0.19122338961965835,-0.18381665749569379,-0.19408745225349308,-0.1689817485195229
