folder_Gaussian(0.0037),folder_Gaussian(0.003),folder_Gaussian(0.0028),folder_Gaussian(0.0043),folder_Gaussian(0.0047),folder_Gaussian(0.0025),folder_Gaussian(0.0001),folder_Gaussian(0.0032),folder_Gaussian(0.0036),folder_Gaussian(0.0023),folder_Gaussian(0.0014),folder_Gaussian(0.0026),folder_Gaussian(0.0031),folder_Gaussian(0.0006),folder_Gaussian(0.0038),folder_Gaussian(0.0034),folder_Gaussian(0.0002),folder_Gaussian(0.0019),folder_Gaussian(0.0013),folder_Gaussian(0.0045),folder_Gaussian(0.0009),folder_Gaussian(0.0004),folder_Gaussian(0.0024),folder_Gaussian(0.0016),folder_Gaussian(0.005),folder_Gaussian(0.0003),folder_Gaussian(0.0039),folder_Gaussian(0.0042),folder_Gaussian(0.001),folder_Gaussian(0.0035),folder_Gaussian(0.0021),folder_Gaussian(0.0008),folder_Gaussian(0.0027),folder_Gaussian(0.0015),folder_Gaussian(0.0022),folder_Gaussian(0.0048),folder_Gaussian(0.0049),folder_Gaussian(0.0017),folder_Gaussian(0.0029),folder_Gaussian(0.0011),folder_Gaussian(0.0041),folder_Gaussian(0.0012),folder_Gaussian(0.0007),folder_Gaussian(0.0018),folder_Gaussian(0.004),folder_Gaussian(0.002),folder_Gaussian(0.0033),folder_Gaussian(0.0005),folder_Gaussian(0.0046),folder_Gaussian(0.0044)
-0.10263249373667176,-0.10064589966659158,-0.10470299590696726,-0.10495473998191747,-0.09938997103140734,-0.09932964504335022,-0.10446380639271796,-0.09483452516501226,-0.10481582279828555,-0.1085437310863816,-0.1008601364088157,-0.10055325942277538,-0.10766948107278494,-0.10331984645537169,-0.10089358106290634,-0.09984703768886423,-0.10445019605781719,-0.10507727471869542,-0.10325887816889395,-0.11037292684500834,-0.10502846581812288,-0.10518206841588995,-0.10245105930517255,-0.10316423386146631,-0.11652156063205364,-0.10398702388914403,-0.1059785708164233,-0.10914055675147463,-0.10397413733813675,-0.10846042727590505,-0.09971335682501292,-0.10472330192051757,-0.10094485057124103,-0.10506511321555109,-0.1019485032581275,-0.11014910146589012,-0.09877095105526626,-0.10416101010044483,-0.10244263240940495,-0.10527269778782421,-0.10940025280037798,-0.10435502324036242,-0.10410833282998222,-0.10586017836768749,-0.10677083326114425,-0.10597832533790007,-0.10204717663997213,-0.103257025291111,-0.09548012657440362,-0.10069156013969367
-0.11464459703915482,-0.10700221891998601,-0.11194725139607081,-0.11485873881686669,-0.10680171130523082,-0.10805065900026832,-0.11236911278915775,-0.10489954778656385,-0.11430687606749525,-0.11494409474906143,-0.10881541858175642,-0.11052982781338316,-0.11745673192479326,-0.11177212715348887,-0.11169586428468647,-0.10763565648579507,-0.11218184007350868,-0.11430673188123429,-0.11115860437008324,-0.11617171307976308,-0.11304676861498318,-0.11286407535298063,-0.10895208049678365,-0.1095516090138425,-0.12140147786404977,-0.1118304715585736,-0.11326905272755936,-0.11632798092023561,-0.1111673947634719,-0.11760537026652224,-0.10697288069818592,-0.11307049317964214,-0.10941085312493716,-0.11288611610212916,-0.11147411351778276,-0.11726788302198365,-0.1088257220437878,-0.1114948005088378,-0.1109330129385924,-0.11346183159200834,-0.11620997760941791,-0.11204695266354524,-0.11180433919558873,-0.11426519381399651,-0.11733364543787389,-0.11501161641296298,-0.11038770398071664,-0.11098525401927097,-0.10697220781501661,-0.1085162045679173
-0.12011760347300734,-0.11657293123342209,-0.11893594905177914,-0.12380597555529377,-0.1121138411295652,-0.11567341024649613,-0.11983699520176884,-0.11310121714863205,-0.12261919709960235,-0.12172666348423604,-0.11587503220099514,-0.11908674786328588,-0.12551495929642914,-0.11911872489487002,-0.1179753433168005,-0.1125291610341013,-0.11970982394253424,-0.12139666210626204,-0.11835578374484715,-0.12361696485199576,-0.1204947131456825,-0.1206199157582216,-0.116859082079449,-0.11740401303028741,-0.13061526608957222,-0.11934043638934055,-0.12001919579774663,-0.12210558574369054,-0.1180999009837147,-0.12224665589991676,-0.11378402864095914,-0.1208560204220356,-0.11762881842355596,-0.11991109640878646,-0.1183291800229593,-0.12600417742305095,-0.12230238265903756,-0.11866355371303645,-0.1190687437573889,-0.12159787327964448,-0.12103160720832634,-0.11937469640767931,-0.11937259191785339,-0.1190232164819468,-0.12487885636538634,-0.122596662810156,-0.1166015205021583,-0.11865340183936363,-0.11556889529759498,-0.11165181030633678
-0.12651803901790412,-0.12268496312991738,-0.12499404324889385,-0.13189691803812612,-0.11682573409556238,-0.12352231495141502,-0.1268905355381328,-0.11948137890957457,-0.12951455962055397,-0.12913355430424114,-0.12258298227743582,-0.12648450381514548,-0.13231743798576567,-0.12623270809397913,-0.12495580719720556,-0.11901457200809634,-0.12690051357664342,-0.12827611723490104,-0.12472366253154464,-0.12968217042250957,-0.1272384827948317,-0.12743538303004515,-0.12398743623544294,-0.1234117299813792,-0.13992190853440303,-0.12643232190908052,-0.12461063402333161,-0.12898763017760673,-0.126141644554041,-0.1288869186890646,-0.12266210288966554,-0.1284065506660577,-0.12616061965914596,-0.1267536890790264,-0.1260205231513353,-0.1315807933226413,-0.1259786585456226,-0.1265189917093555,-0.12667596784745316,-0.12888977239542693,-0.12453844696687218,-0.1257255586234478,-0.1266167650813922,-0.1244776578855759,-0.13117650416007215,-0.12883429829210954,-0.12020212631253681,-0.12579919457662608,-0.12222347286949393,-0.12444646711414849
-0.13403366122884497,-0.12853212160320904,-0.1303568704352355,-0.1399646148626515,-0.12197020138434564,-0.1301705198375348,-0.13356545955786794,-0.12455511118764505,-0.13480300004108395,-0.1358622930648618,-0.12879472978214423,-0.13368549442866437,-0.14040906739998424,-0.13322903957727547,-0.1337980929293448,-0.12444843059144521,-0.13357800693268282,-0.13524793057677725,-0.1316717919751597,-0.1378386640987938,-0.13406432748108318,-0.13410105950255033,-0.1305976391273729,-0.13102863990587818,-0.14795052761058472,-0.13295203671030298,-0.12849542609776898,-0.13628352242266362,-0.1328661677860456,-0.13493191403351124,-0.12955639917520514,-0.13480576465706787,-0.13480899172056213,-0.1335794194736939,-0.13326810197721714,-0.13350905844935199,-0.13311689028524415,-0.13267535938640007,-0.13173591215911856,-0.13521867289613668,-0.13360652135351253,-0.13192005275400065,-0.13322019893990505,-0.13005062803155298,-0.13919450081340767,-0.13496225511592363,-0.1268619872872201,-0.13230476366215405,-0.12974120883390733,-0.13345042423677902
-0.1443678413118475,-0.13555133913006512,-0.13960740473159966,-0.14557814690725115,-0.13094644645609696,-0.13634082252893256,-0.1399568318951586,-0.13002248707803069,-0.14415883697116363,-0.14242432411120537,-0.13411603486041596,-0.14131965041073116,-0.14630743567260923,-0.13962488162568978,-0.14517505394520447,-0.1297304718592464,-0.13983494889142767,-0.14058801633188744,-0.13779941348527258,-0.1436857973328127,-0.14046997140964473,-0.14053329143848614,-0.13702876790567295,-0.13840112847230418,-0.15256509255849487,-0.13941285939855497,-0.13393920651032143,-0.1458870691462619,-0.13970219272283285,-0.14218813946768039,-0.1363062270477512,-0.14115973764553222,-0.14388337607439083,-0.1403928982906182,-0.13762166244134824,-0.13760409943723673,-0.13888341608182692,-0.13992277396241168,-0.13889204958829732,-0.14085311288470734,-0.1394415291994393,-0.1382325029441559,-0.13958547957699716,-0.1374510436854049,-0.1456570932994749,-0.14032856648959788,-0.1321167034448836,-0.13841762578785702,-0.13599110922469435,-0.13961775236478757
-0.14962925795880788,-0.13983572027098123,-0.14815112619505855,-0.152714946571998,-0.141202229987544,-0.14261587778124707,-0.1460222775585259,-0.13542422778182256,-0.15150541287216063,-0.14698548374178697,-0.13926806549181858,-0.14797964826555873,-0.15308043382477288,-0.14527114757718723,-0.1516687251127448,-0.1354580975643806,-0.1459533594534617,-0.1471524719492587,-0.1435934365706012,-0.1485331645686404,-0.14672914082221605,-0.14665025306249163,-0.1437978362436629,-0.1435701777489628,-0.15880281041409613,-0.14501946119835396,-0.14045149961475434,-0.15212476875606937,-0.14636856252361777,-0.15032474218463918,-0.143649554149259,-0.14699892665471143,-0.15007176239846803,-0.1477262074669462,-0.1428552700947833,-0.14264367863127714,-0.14386095225365983,-0.14668214195221926,-0.14510524424306917,-0.14656284992408306,-0.14434617183377763,-0.14524022382639395,-0.1458903465590321,-0.14416047371935067,-0.1520655352117716,-0.14589304614662255,-0.13934943627064458,-0.14458547093776097,-0.14159890013582246,-0.1457298124660946
-0.1573307269920649,-0.14340732708915108,-0.15312060118181564,-0.15746441637203845,-0.14435639223448657,-0.1475532987431813,-0.15161832456308505,-0.1393758012605385,-0.15642917848683666,-0.15392765386379748,-0.14383227249613997,-0.15358335350425656,-0.15756730807502728,-0.15111383018515606,-0.1568421274761291,-0.14171137439167233,-0.15164133999249907,-0.15358266115317507,-0.15055975034328142,-0.15396161749198745,-0.15275278933477776,-0.15226018911572564,-0.14935159023008726,-0.1492268882744655,-0.16184148231567963,-0.15045368218630326,-0.14857681752817092,-0.1567900824636631,-0.15162224881977326,-0.15652419861964276,-0.14958833088253054,-0.15271441872079514,-0.15838928113156764,-0.1537830431225803,-0.1485127423908321,-0.14956300079113888,-0.14772133793516495,-0.15161497630179077,-0.1513752580744916,-0.15168178138489075,-0.14672531000955477,-0.15091620064874675,-0.15122170611659322,-0.1496846411456577,-0.1546129073210053,-0.15075917410988876,-0.14541885594527065,-0.1502139930527354,-0.15106233004902506,-0.15415523819247634
-0.16466058849410087,-0.14857579921903719,-0.16097455513244543,-0.16207352737258074,-0.15255458536078195,-0.15221483243854822,-0.1569774179012082,-0.14620548200739983,-0.16252730078884198,-0.16006002289195886,-0.14985936016947338,-0.15889594370115684,-0.16017998416741727,-0.15661734354969964,-0.15994818132994873,-0.14740525859564124,-0.15695225983577135,-0.15968888576104878,-0.15607102900889455,-0.15696933652291145,-0.15851312650589672,-0.1572590781240229,-0.15353820336109206,-0.1527654658997461,-0.16395926790885262,-0.15561978491202968,-0.15378871907783856,-0.16518903717099612,-0.15749564400309282,-0.16027680118065135,-0.1552847757298572,-0.1582032388409343,-0.16442486580468926,-0.1599531522368724,-0.1542491090718384,-0.14647761323236852,-0.15006550184349224,-0.1572367846474734,-0.15564353675483208,-0.1567804721601726,-0.15043790398126167,-0.15575791103887368,-0.1562898938827499,-0.15458058955814225,-0.1583764201989659,-0.15753493632501508,-0.15036043250342576,-0.1557433178594449,-0.15471055778352935,-0.1616024968107752
-0.1687263983013836,-0.15708829726582355,-0.1656475123366631,-0.16629590399979896,-0.15818415204656597,-0.15756458994090758,-0.16208974157372807,-0.14838138500777764,-0.16779009717676963,-0.1643899023254376,-0.15519505691120888,-0.16490816712972062,-0.16333359630720914,-0.16162096679139348,-0.16660916230383202,-0.1522149069423239,-0.16201560729499598,-0.1634238732830556,-0.1612729418333225,-0.16455071790564463,-0.16372970835485703,-0.16255158402696707,-0.15917979398606405,-0.15788571480367633,-0.16869123754209528,-0.1609975499608864,-0.16015902790766995,-0.1704872462583845,-0.16311241965837017,-0.16579906736287012,-0.16144172017541497,-0.16361189969368012,-0.17086485402953497,-0.16576327128539461,-0.15853131722090186,-0.15149377254318844,-0.1513113801044621,-0.16093709491400193,-0.15985437892058585,-0.16232397558055728,-0.15467869920116453,-0.16063089437856576,-0.16196326823535895,-0.16049434126995898,-0.1623774316054912,-0.16221225436194953,-0.15740265932910424,-0.16058561489083834,-0.15909322935852976,-0.16929634801512017
