folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.1867442476614026,-0.18325787932627044,-0.18733558389840987,-0.1758952517598934
-0.18563256221827412,-0.18175050800068362,-0.18632117209015273,-0.17449343034416942
-0.18531925252203055,-0.18136030837818018,-0.18501024495130067,-0.17396971178011064
-0.18394047203969777,-0.1800181277967532,-0.18406659658302676,-0.17376840775640548
-0.18614708485454962,-0.17905587536379883,-0.1822278921562557,-0.17268695427690825
-0.18516413943196197,-0.17792565319275117,-0.182280864476078,-0.17136790944300734
-0.18409666026993354,-0.17708545348934,-0.18127467883580903,-0.17000463732742063
-0.18299975416388892,-0.17720173427814065,-0.18113405677559705,-0.17018427467814334
-0.18176408422673732,-0.17757170670505382,-0.1811968219991943,-0.170483042665776
-0.18112280051184604,-0.17671456141292655,-0.18014050324957942,-0.16966339536255984
-0.18011899100356832,-0.17651850362964575,-0.17866035089942653,-0.1688586366100578
-0.17943123274718376,-0.1754389050940666,-0.1779716430645058,-0.16737514062754097
-0.1800851611896246,-0.17418939364494002,-0.17719130471533606,-0.166083258713561
-0.17861511742507033,-0.17264677445825063,-0.1777199974885148,-0.16520095070229654
-0.1784677513155265,-0.17268408855374365,-0.1771346163883574,-0.1656300264855613
-0.1779736989221856,-0.17205647967278423,-0.17591168660696166,-0.1643738167961578
-0.17676299577940896,-0.17112432216384904,-0.17483607588440989,-0.16298813523837644
-0.17525527557422202,-0.17130522810244944,-0.17332800332458806,-0.1640075627396875
-0.17457171557159096,-0.1700912826928624,-0.17304556487950495,-0.16257957477548757
-0.17332575736432546,-0.16882023967960358,-0.1719762381216411,-0.1621473226263242
-0.17253376898963657,-0.16934286528455314,-0.17107198871171017,-0.16113158756179038
-0.1720471654072766,-0.16922537631603254,-0.1700672339957784,-0.1599805382623897
-0.1705175649808832,-0.16849869220156616,-0.17014430983354478,-0.15992046315424496
-0.16944243330552652,-0.16789135734014374,-0.16936119477562073,-0.15858464944727144
-0.16835332706355724,-0.16639505502786417,-0.1684799645981583,-0.1573391591702946
-0.1668293480552084,-0.16642462585300014,-0.16899616274414567,-0.15642798496124002
-0.1653634983486372,-0.16596731430616668,-0.16750274192270667,-0.15581541090072448
-0.16460766474445143,-0.16505839864009136,-0.16630813133309388,-0.1558703168676934
-0.16353170110416418,-0.16624747717460966,-0.16619449820495424,-0.15453117702356883
-0.16343116476761016,-0.16741128266772498,-0.16499269285580462,-0.15350367133862666
-0.16199819577370234,-0.1682538414973153,-0.1637663856750833,-0.153044172175526
-0.160818227591998,-0.1679552463681838,-0.1625012994529973,-0.15286898727026174
