folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.12010939540135356,-0.1287631039117516,-0.2146889280859996,-0.13612694593833508
-0.11707446639849833,-0.12894864274618337,-0.21513691644935684,-0.1359188934934767
-0.11694868899028311,-0.1283863179326132,-0.21576004611997654,-0.13624148900566418
-0.1206659116424192,-0.12704194942220298,-0.21456027386330628,-0.13400598611818182
-0.11820077810718942,-0.12704536435093955,-0.21858315285597565,-0.13304463505124078
-0.11594273891054191,-0.1295892978147573,-0.21976421718346745,-0.13122067627671624
-0.11716993475385543,-0.1272565029468573,-0.21666675429874338,-0.12895281459506486
-0.11668294221734309,-0.12887310282713252,-0.21439836651206215,-0.12652975410245315
-0.11578924739733139,-0.1295960305981586,-0.21532679273325805,-0.13260694550305926
-0.113165849844869,-0.12877393668363626,-0.21855130369380926,-0.13042495400372603
-0.111452716006432,-0.12720945434574563,-0.21585272898704308,-0.1309483078628928
-0.1116430977837656,-0.12544649807127023,-0.2153719381879246,-0.13010975977029726
-0.1114422656871408,-0.12830971506175615,-0.21329951992253707,-0.12797182781869534
-0.11267091833673726,-0.12721078791463097,-0.2145154635184429,-0.13229958992499874
-0.1170823231158743,-0.1257734072457194,-0.21489935769948396,-0.1299311038111648
-0.11901745284378108,-0.1269312074613182,-0.212519488112204,-0.12878956680214126
-0.11775178608757281,-0.12580652797754363,-0.2105058411604464,-0.12810474899799926
-0.11538365958792644,-0.1291400875068636,-0.20834546983315871,-0.12821344357121847
-0.11638843858435838,-0.12796861425054623,-0.21014083650917514,-0.12814235536048943
-0.1142591974892112,-0.12779295662431056,-0.20784897937899127,-0.13179248682817138
-0.12085771945113005,-0.12722845924081855,-0.20930970455916648,-0.12914160031469651
-0.1218047493151688,-0.1280639701049232,-0.20853229127942466,-0.12898643870556284
-0.1197858710276889,-0.1326043490234252,-0.20766469197391405,-0.12692241764087064
-0.1192366303053992,-0.1389731003625087,-0.20892347377578802,-0.1261527638041262
-0.11680212933275337,-0.14161262404704708,-0.21085808942781317,-0.12517804387985834
-0.11598203414374182,-0.1391635948869625,-0.21386869137166273,-0.12695599050202808
-0.11566742370745488,-0.13807760527814067,-0.21345389265919976,-0.12923166214729487
-0.11619520598456895,-0.13607226005096995,-0.21327215780780473,-0.13137774871156138
-0.11411479305657098,-0.13322377445383102,-0.2143176576129385,-0.1299853090006655
-0.11349879842378552,-0.13366321370870463,-0.2141598795906843,-0.1310812694739514
-0.11389346456125227,-0.13289854688249936,-0.21226110174185567,-0.13020415749669156
-0.11253443947113385,-0.1313022931230487,-0.2096289072574881,-0.12767994281179817
-0.11242882925978749,-0.12905145327401477,-0.21102420821619255,-0.1302816150653082
-0.1107408657191057,-0.13487589261320365,-0.21211770008788722,-0.1318634130244648
-0.10859985012205148,-0.13862174798702173,-0.21044155266809747,-0.1348440270920455
-0.10642053975620457,-0.14368342082625746,-0.2119304632313933,-0.13363680951487833
-0.10812374250684482,-0.14245471918245334,-0.21551649214482246,-0.13408783906702254
-0.10862237439874843,-0.1399313242848173,-0.21646545665543662,-0.13297564690546002
-0.1078190486881434,-0.14322012461277922,-0.21539733107215878,-0.133314915369569
-0.10800089172377803,-0.14322399293083568,-0.2159564122081642,-0.13166016353049886
-0.10634323429269404,-0.14229229540861085,-0.21503111114322493,-0.1316105213103083
-0.10735622827980856,-0.14104350588226797,-0.21251793037469252,-0.13209757414561132
-0.11152262497962179,-0.14428460538036197,-0.21065907199573666,-0.13834656912616078
-0.11268510717373385,-0.14246879554245467,-0.21081153464702457,-0.136733987200746
-0.11021597489316115,-0.14325468862311053,-0.2089934919452447,-0.1350648112183012
-0.10902631334618747,-0.14053810334451466,-0.20826732812950258,-0.13343693757328132
-0.10900894191873711,-0.1399868996819679,-0.2070247197366084,-0.14036786033101495
-0.11053011409389148,-0.14085855939493871,-0.20732120091639888,-0.13890062842322043
