folder_fcr_binding(8),folder_fcr_binding(6),folder_fcr_binding(5),folder_fcr_binding(7)
-0.22431327287925867,-0.2940799397493696,-0.44408042586999036,-0.22055313759412593
-0.2228154960890066,-0.2929241739988869,-0.4440394481893309,-0.21783456865389098
-0.22120871639756826,-0.29161002617628284,-0.4443140909833807,-0.217011504738432
-0.22085878059186537,-0.2900154844958621,-0.44431330337030495,-0.2154209232114819
-0.21950179098228606,-0.28970267979946923,-0.4451774172998231,-0.21308447259964958
-0.21761524301432963,-0.29029858711829876,-0.445986227516197,-0.21056138199981636
-0.21537170357805682,-0.2893227171881912,-0.44643949180179454,-0.2087552863531912
-0.21546040913083675,-0.28779477969211803,-0.4469939882736698,-0.20759519165142507
-0.21355874095292435,-0.2866868506312006,-0.45004832345871004,-0.2056161424825408
-0.21158672970245007,-0.2858248100080267,-0.45034453589198614,-0.20463972426118304
-0.20921703115982393,-0.28663211811490064,-0.45088229141697106,-0.2022384694057471
-0.20738799524499035,-0.2855457277612076,-0.45349873078502506,-0.2013726382318123
-0.2051241347470608,-0.2840871605276226,-0.45425200487609024,-0.2006119761376891
-0.20385830820312623,-0.28300730048531786,-0.45527750491665037,-0.19836261532924662
-0.2019581582243594,-0.2821767166978615,-0.4557469501354173,-0.19724396084089832
-0.20128023159721883,-0.2809835879682414,-0.4565575020318115,-0.19523086616157265
-0.19978449361064918,-0.28006457023669495,-0.45669059053741634,-0.19349115712123305
-0.19781714931213185,-0.27878521963644093,-0.4573234871755681,-0.19191182733720716
-0.19575073123972406,-0.27773139827417714,-0.4597729899512708,-0.19105785714614348
-0.19389337198791634,-0.2770495544410007,-0.4613185979374823,-0.18930446041889604
-0.19230002964977683,-0.2765184009909891,-0.4625541213143751,-0.18766347244503412
-0.19138384787298374,-0.2752745993355127,-0.4631160948758567,-0.18628901821496824
-0.18963062507429776,-0.27483400680401954,-0.46331137243245857,-0.1845632748995389
-0.18873551406911307,-0.2734939230166826,-0.46343976994496344,-0.18294726705936737
-0.1868332410598499,-0.272631849509221,-0.4637974956806067,-0.1809445732669091
-0.18705525780769183,-0.2718353452009361,-0.46436972850113845,-0.18051642170922416
-0.18551576597666272,-0.27284157779300533,-0.4642302176072818,-0.17864672339053847
-0.18393044408550893,-0.27173063638985967,-0.4649440227301088,-0.1775180162549401
-0.18206122728292562,-0.27120608587711265,-0.4655362733792356,-0.17676719065825577
-0.18033709556839267,-0.2698451972430645,-0.46533406993966436,-0.17531304273513493
-0.1797813897561619,-0.2684779497697519,-0.4657273986334038,-0.17403832968063118
-0.1780544892483789,-0.26741339991474006,-0.46657325424692864,-0.1738555133905625
-0.1776160681217288,-0.26678805186063914,-0.4678822523357944,-0.17473658650722435
-0.1759610007771394,-0.2654853951609838,-0.4686009109555053,-0.17317309121420915
-0.17489792961013045,-0.26544272798859453,-0.4700580968668385,-0.17237289859218596
-0.17328109012445211,-0.2644482392082317,-0.47000065294813465,-0.17080721532599286
-0.1715762392351284,-0.2631935290678088,-0.47161568521754194,-0.17382003202264942
-0.1697325186088529,-0.26204071880700924,-0.4741710059922641,-0.17278907680266145
-0.1685501444740434,-0.2610965209813212,-0.4740019752214789,-0.17116682739951106
-0.16770753677503475,-0.26021869863399877,-0.4741271656891212,-0.1702577421860989
-0.16663567621148995,-0.2591977436578964,-0.4743672985381346,-0.1701247627636978
-0.1687353884850605,-0.2580348340604867,-0.47450529849584827,-0.16858853151025852
-0.16826187028859463,-0.257940418428424,-0.47459696460237566,-0.16766981926918753
-0.16765711419894858,-0.25674185637040575,-0.4752147582510172,-0.1662156088997961
-0.1659605686045375,-0.25551118115615606,-0.4757209867099699,-0.16551783590652466
-0.16499252830786532,-0.2547435188055769,-0.4762320417102713,-0.16448179289659717
-0.1646696028143863,-0.2555760319452854,-0.4765971429583861,-0.16388616742898562
-0.16350942538164628,-0.2551320076171184,-0.47666197824566436,-0.16364171492798119
-0.16204614461280267,-0.254139148838872,-0.4771850829816015,-0.16288515688856786
-0.16140908541791446,-0.25304705932468563,-0.4780109720255652,-0.16356615578519806
-0.16172050733582108,-0.25264404364925397,-0.4786623290956974,-0.16247229532814053
-0.1601917278181105,-0.25125501869491146,-0.4808245856609424,-0.16109088325546708
-0.15906799710045777,-0.25073374285437283,-0.4810930774728177,-0.16061509337345803
-0.1582846580400359,-0.2496238558448855,-0.4809327353202779,-0.16110438803049776
-0.15696227586019287,-0.2493532108327871,-0.4816216187963752,-0.16035957516858484
-0.15637787088286945,-0.24858881737308164,-0.48209966728886644,-0.1591867392385503
-0.1561111985242235,-0.24749337563325757,-0.4844941616429887,-0.1579124083732228
-0.15492552718893252,-0.24652399815504517,-0.4853088837875005,-0.15826741950424278
-0.1546920135783156,-0.24561537393768731,-0.48695005084209547,-0.15812923702126166
-0.15444797739919638,-0.2442859410936481,-0.4868685122263691,-0.15711333297721924
-0.15363189992097687,-0.24316413550778632,-0.4873012310793468,-0.15604510094529359
-0.15234204451125868,-0.2437071556638114,-0.4872656229081771,-0.1548513307175332
-0.1511138745128902,-0.24271384601867715,-0.4870949534449934,-0.15432819883536175
-0.15139526875020598,-0.24163656122532728,-0.4872398093378689,-0.1538081208400505
-0.15008432545534556,-0.24219198431958394,-0.4880815833782784,-0.15287576168457606
-0.1487700903087017,-0.24116319295092128,-0.4895519369085165,-0.15198861052091991
-0.14766924093128653,-0.2402374123149453,-0.49063550389764765,-0.1513409779720833
-0.14709342163264444,-0.23939220970693667,-0.49190801031007253,-0.1505579298111961
-0.14952966373619314,-0.2393172363910343,-0.4924307984940281,-0.1501589528874419
-0.14843893254742083,-0.23849497085980206,-0.492456166038223,-0.14926640295846624
-0.14770336549568008,-0.23802947081471193,-0.492979530777652,-0.1521073683132645
-0.14674276716294332,-0.2374025518568304,-0.49379412648180954,-0.15083746777415002
-0.1466701046048876,-0.2364713325150286,-0.4940793206053582,-0.1500472667511637
-0.1472035620939363,-0.23553339337538573,-0.49418245342016975,-0.15030041520697168
