Interval_ID,Boundary_Hour,Unit_ID,On_Status,Consecutive_State_Hours
2,48,60,1,5
2,48,61,1,19
2,48,62,1,5
2,48,63,1,5
2,48,64,1,12
2,48,65,1,28
2,48,66,1,5
2,48,67,1,5
2,48,68,1,19
2,48,69,1,5
2,48,70,1,19
2,48,71,1,5
2,48,72,1,5
2,48,73,1,19
2,48,74,1,38
2,48,75,1,43
2,48,76,1,19
2,48,77,1,19
2,48,78,1,19
2,48,79,1,19
2,48,80,1,18
2,48,81,1,36
2,48,82,1,36
2,48,83,1,28
2,48,84,1,10
2,48,85,1,5
2,48,86,1,5
2,48,87,1,5
2,48,88,1,19
2,48,89,1,19
2,48,90,1,12
2,48,91,1,19
2,48,92,1,5
2,48,93,1,12
2,48,94,1,19
2,48,95,1,5
2,48,96,1,5
2,48,97,1,12
2,48,98,1,12
2,48,99,1,12
2,48,100,1,5
2,48,101,1,19
2,48,102,1,19
2,48,103,1,5
2,48,104,1,4
2,48,105,1,19
2,48,106,1,19
2,48,107,1,19
2,48,108,1,4
3,72,1,0,17
3,72,2,0,2
3,72,3,0,17
3,72,4,1,12
3,72,5,1,12
3,72,6,1,1
3,72,7,1,4
3,72,8,0,2
3,72,9,0,17
3,72,10,1,12
3,72,11,0,3
3,72,12,0,23
3,72,13,0,23
3,72,14,1,4
3,72,15,0,23
3,72,16,1,4
3,72,17,0,23
3,72,18,0,17
3,72,19,1,4
3,72,20,1,13
3,72,21,1,13
3,72,22,1,4
3,72,23,1,4
3,72,24,1,13
3,72,25,1,5
3,72,26,1,4
3,72,27,0,8
3,72,28,1,10
3,72,29,1,13
3,72,30,1,5
3,72,31,1,1
3,72,32,0,17
3,72,33,0,23
3,72,34,1,4
3,72,35,1,4
3,72,36,1,12
3,72,37,1,4
3,72,38,1,1
3,72,39,1,5
3,72,40,1,5
3,72,41,0,23
3,72,42,1,1
3,72,43,0,3
3,72,44,0,3
3,72,45,0,3
3,72,46,0,23
3,72,47,1,4
3,72,48,1,4
3,72,49,0,23
3,72,50,1,4
3,72,51,1,4
3,72,52,1,4
3,72,53,1,4
3,72,54,1,4
3,72,55,1,5
3,72,56,0,17
3,72,57,0,2
3,72,58,0,8
3,72,59,0,3
3,72,60,1,1
3,72,61,1,4
3,72,62,0,17
3,72,63,0,17
3,72,64,0,3
3,72,65,1,13
3,72,66,0,17
3,72,67,0,23
3,72,68,1,4
3,72,69,0,23
3,72,70,1,4
3,72,71,0,23
3,72,72,0,23
3,72,73,1,4
3,72,74,1,13
3,72,75,1,13
3,72,76,1,4
3,72,77,1,4
3,72,78,1,13
3,72,79,1,5
3,72,80,1,4
3,72,81,1,4
3,72,82,1,10
3,72,83,0,3
3,72,84,1,5
3,72,85,1,1
3,72,86,0,2
3,72,87,0,23
3,72,88,1,4
3,72,89,1,4
3,72,90,1,12
3,72,91,1,4
3,72,92,1,1
3,72,93,1,5
3,72,94,1,5
3,72,95,0,23
3,72,96,1,1
3,72,97,1,13
3,72,98,1,12
3,72,99,1,12
3,72,100,0,23
3,72,101,1,4
3,72,102,1,4
3,72,103,0,23
3,72,104,1,4
3,72,105,1,4
3,72,106,1,4
3,72,107,1,4
3,72,108,1,4
